,zipcode,borough,pop_0_5,pop_6_12,pop_0_12,average income,employment rate,n_facilities,total_slots,slots_0_5
0,10001,Manhattan,744,1255,1999,102878.03360298694,0.5950970226633091,9,609,24
1,10002,Manhattan,2142,4645,6787,59604.04116465864,0.5206618050654748,56,4724,216
2,10003,Manhattan,1440,1510,2950,114273.04964539009,0.4972437218107912,7,1995,0
3,10004,Manhattan,433,262,695,132004.3103448276,0.5066608429788163,2,263,0
4,10005,Manhattan,484,318,802,121437.7133105802,0.6658334280195433,1,39,0
5,10006,Manhattan,128,133,261,126377.1186440678,0.6316916488222698,1,156,14
6,10007,Manhattan,605,596,1201,138853.90428211587,0.528910205169198,3,284,0
7,10009,Manhattan,1896,2575,4471,77133.23353293413,0.5145674278475812,23,1784,124
8,10010,Manhattan,1422,2066,3488,116272.69881026926,0.4927491514964517,3,234,0
9,10011,Manhattan,1209,1882,3091,120420.79207920792,0.5569999212164185,7,1956,48
10,10012,Manhattan,613,364,977,111131.78633975482,0.5382730015082956,2,24,18
11,10013,Manhattan,1249,1796,3045,106023.04469273744,0.4861983499134213,5,435,12
12,10014,Manhattan,708,789,1497,124233.12883435584,0.6086012015885408,6,1711,71
13,10016,Manhattan,1798,1966,3764,109298.7308818744,0.5652117934852582,3,823,12
14,10017,Manhattan,193,293,486,118061.72291296624,0.7773022228358415,2,107,0
15,10018,Manhattan,242,280,522,108746.18902439025,0.757593255572237,0,0,0
16,10019,Manhattan,1099,949,2048,107014.96779082986,0.6170789879811065,12,591,48
17,10021,Manhattan,1787,2321,4108,124193.91462306994,0.5418040450765218,1,460,0
18,10022,Manhattan,1228,1466,2694,124320.79414838034,0.5698803072708867,1,16,12
19,10023,Manhattan,3548,3533,7081,121776.25639482395,0.5057376799683438,9,1099,18
20,10024,Manhattan,4221,4349,8570,118313.14878892733,0.4603816866855704,14,1243,105
21,10025,Manhattan,4499,5314,9813,93258.39398919934,0.4391264898750361,35,2513,275
22,10026,Manhattan,2222,3043,5265,65380.718008106545,0.4513262772768849,43,1706,366
23,10027,Manhattan,3636,4867,8503,61675.983037779486,0.3941889797282922,58,3693,350
24,10028,Manhattan,1719,3012,4731,117822.24532224532,0.5260625150381696,3,348,60
25,10029,Manhattan,3965,5301,9266,48339.6723229959,0.4520326923585579,68,3358,358
26,10030,Manhattan,1872,2199,4071,48373.42271293375,0.4055264167839325,28,1272,171
27,10031,Manhattan,2359,4006,6365,48674.798239178286,0.4465631347880217,60,1577,548
28,10032,Manhattan,2238,3448,5686,46467.4900108972,0.4551917989417989,82,3222,768
29,10033,Manhattan,3206,3770,6976,52235.16527279968,0.4276881674643593,91,2893,880
30,10034,Manhattan,2615,2951,5566,50708.04658549497,0.4544142410392109,79,3126,791
31,10035,Manhattan,2382,3097,5479,50944.669365721995,0.3839875631558492,29,2059,102
32,10036,Manhattan,634,898,1532,94940.64443188242,0.5719366311024895,3,686,0
33,10037,Manhattan,1070,1402,2472,57120.58212058212,0.5026648552617828,18,586,163
34,10038,Manhattan,772,1219,1991,95681.62574089757,0.5059332562224221,9,802,31
35,10039,Manhattan,1898,2541,4439,47026.16970658208,0.4219225750326228,34,1423,266
36,10040,Manhattan,1970,3484,5454,50772.05882352941,0.4673218335509587,86,2594,879
37,10044,Manhattan,939,764,1703,86945.03171247357,0.3992908998818166,5,489,12
38,10065,Manhattan,2230,1770,4000,120720.64643799471,0.491266729317217,5,845,40
39,10069,Manhattan,690,541,1231,133653.84615384616,0.519252276721521,1,16,12
40,10075,Manhattan,1243,1199,2442,120113.13056379822,0.5635451505016722,1,235,0
41,10128,Manhattan,2791,2686,5477,111992.48721227625,0.5517241379310345,3,301,0
42,10162,Manhattan,134,17,151,137335.52631578947,0.4990151017728168,0,0,0
43,10280,Manhattan,318,293,611,134397.5903614458,0.4692977496324776,1,509,0
44,10282,Manhattan,418,861,1279,152181.6037735849,0.3286821705426356,2,279,0
45,10301,Staten Island,2780,3148,5928,66913.36230309615,0.4564726885026406,32,1905,278
46,10302,Staten Island,1338,1855,3193,57217.51412429378,0.4766521247374374,19,744,190
47,10303,Staten Island,1262,2821,4083,52778.861154446175,0.4733596721190414,49,1609,486
48,10304,Staten Island,2234,4396,6630,61216.41074856045,0.4645149786019971,42,2020,397
49,10305,Staten Island,1653,3386,5039,64277.19465648855,0.496553031200398,20,786,150
50,10306,Staten Island,2606,4911,7517,73657.31115731115,0.5132309005548442,15,578,108
51,10307,Staten Island,1098,1011,2109,86900.43604651163,0.4662826160623517,3,259,0
52,10308,Staten Island,1106,2587,3693,81452.4647887324,0.4721529509559434,6,431,30
53,10309,Staten Island,1936,3172,5108,85576.92307692306,0.4602763385146804,5,297,9
54,10310,Staten Island,2167,2408,4575,67453.42929720576,0.4500933724608407,25,1136,194
55,10312,Staten Island,3668,6076,9744,83484.34925864909,0.4781560663589242,16,1140,127
56,10314,Staten Island,5269,8600,13869,74144.03778040141,0.448836839595146,22,1654,156
57,10451,Bronx,3494,5387,8881,40553.319919517104,0.4843016117401726,113,3287,1025
58,10452,Bronx,5461,9309,14770,35306.24661979448,0.4703398453398453,287,6984,2895
59,10453,Bronx,5476,9510,14986,34474.69021882415,0.4718542016545375,278,6841,2838
60,10454,Bronx,2870,4718,7588,35661.76470588235,0.389063374966523,71,3163,595
61,10455,Bronx,2507,5634,8141,35785.48644338118,0.4238395673726904,111,3035,1002
62,10456,Bronx,6718,9594,16312,34503.467062902426,0.4558848433530906,237,6897,2340
63,10457,Bronx,6785,9788,16573,34633.56973995271,0.4239698309883859,249,6559,2544
64,10458,Bronx,5585,9406,14991,35868.3314415437,0.4262318875638017,226,4657,2395
65,10459,Bronx,3973,5488,9461,36056.161891768985,0.4231775844815642,135,4018,1300
66,10460,Bronx,3983,6363,10346,36095.55804404629,0.4476040900888859,164,4794,1623
67,10461,Bronx,2750,4838,7588,57890.49919484702,0.4883227176220807,42,1462,414
68,10462,Bronx,5581,7224,12805,49331.55080213904,0.508481160170918,115,3425,1168
69,10463,Bronx,4453,5775,10228,65918.80341880342,0.4826732673267326,118,4249,1189
70,10464,Bronx,75,424,499,84418.6046511628,0.5009319664492078,3,114,12
71,10465,Bronx,3268,3635,6903,67554.12890231621,0.4288398004793677,62,1888,648
72,10466,Bronx,4393,7017,11410,47724.43890274314,0.4438725388457654,127,3192,1348
73,10467,Bronx,6341,10057,16398,42034.178610804855,0.459412640685624,214,6220,2245
74,10468,Bronx,6671,8366,15037,37413.79310344827,0.445348108652653,230,4292,2477
75,10469,Bronx,4483,6076,10559,53108.54753793744,0.4493334446578164,94,2315,990
76,10470,Bronx,1311,799,2110,58968.83289124668,0.4899285250162443,19,632,204
77,10471,Bronx,1015,1376,2391,91633.16582914571,0.4347256204124432,10,284,108
78,10472,Bronx,5321,6625,11946,37918.66028708134,0.4482024416770063,135,3577,1381
79,10473,Bronx,3742,5518,9260,46564.818085482155,0.4711501655932231,90,3514,860
80,10474,Bronx,1001,1525,2526,35229.54091816367,0.4441489361702128,21,1164,180
81,10475,Bronx,3115,3165,6280,56136.161705908475,0.5172691132201209,23,1808,162
82,11004,Queens,894,985,1879,76746.32352941176,0.4330658514838874,2,427,0
83,11101,Queens,2111,1891,4002,91603.38785046728,0.7491467078969631,16,1616,84
84,11102,Queens,1373,1303,2676,67476.42744892614,0.7052347704015663,17,1390,90
85,11103,Queens,1502,1474,2976,63495.96570852244,0.570614640883978,9,524,82
86,11104,Queens,1769,1716,3485,66906.22861054073,0.5423363896209956,10,1229,46
