zipcode,borough,existing_slots,expanded_slots,new_slots,final_slots,req_total,existing_0_5,added_0_5,final_0_5,req_0_5,desert_ok,u5_ok
10001,Manhattan,609,472.0,0.0,1081.0,667,24,472.0,496.0,496,True,True
10002,Manhattan,4724,1212.0,0.0,5936.0,3394,216,1212.0,1428.0,1428,True,True
10003,Manhattan,1995,960.0,0.0,2955.0,984,0,960.0,960.0,960,True,True
10004,Manhattan,263,289.0,0.0,552.0,232,0,289.0,289.0,289,True,True
10005,Manhattan,39,23.0,600.0,662.0,402,0,23.0,23.0,323,True,False
10006,Manhattan,156,72.0,0.0,228.0,131,14,72.0,86.0,86,True,True
10007,Manhattan,284,204.0,400.0,888.0,401,0,204.0,204.0,404,True,False
10009,Manhattan,1784,1140.0,0.0,2924.0,1491,124,1140.0,1264.0,1264,True,True
10010,Manhattan,234,148.0,1600.0,1982.0,1163,0,148.0,148.0,948,True,False
10011,Manhattan,1956,758.0,0.0,2714.0,1031,48,758.0,806.0,806,True,True
10012,Manhattan,24,0.0,800.0,824.0,326,18,0.0,18.0,409,True,False
10013,Manhattan,435,421.0,800.0,1656.0,1016,12,421.0,433.0,833,True,False
10014,Manhattan,1711,401.0,0.0,2112.0,749,71,401.0,472.0,472,True,True
10016,Manhattan,823,787.0,800.0,2410.0,1255,12,787.0,799.0,1199,True,False
10017,Manhattan,107,79.0,100.0,286.0,244,0,79.0,79.0,129,True,False
10018,Manhattan,0,0.0,400.0,400.0,262,0,0.0,0.0,162,True,False
10019,Manhattan,591,485.0,400.0,1476.0,1025,48,485.0,533.0,733,True,False
10021,Manhattan,460,392.0,1600.0,2452.0,1370,0,392.0,392.0,1192,True,False
10022,Manhattan,16,7.0,1600.0,1623.0,899,12,7.0,19.0,819,True,False
10023,Manhattan,1099,1148.0,2400.0,4647.0,2361,18,1148.0,1166.0,2366,True,False
10024,Manhattan,1243,1109.0,3200.0,5552.0,2857,105,1109.0,1214.0,2814,True,False
