zipcode,borough,existing_slots,expanded_slots,new_slots,final_slots,req_total,final_0_5,req_0_5,desert_ok,u5_ok
10001,Manhattan,609,72.0,800.0,1481.0,667,496.0,496,True,True
10002,Manhattan,4724,412.0,1600.0,6736.0,3394,1428.0,1428,True,True
10003,Manhattan,1995,160.0,1600.0,3755.0,984,960.0,960,True,True
10004,Manhattan,263,39.0,500.0,802.0,232,289.0,289,True,True
10005,Manhattan,39,0.0,800.0,839.0,402,400.0,323,True,True
10006,Manhattan,156,22.0,100.0,278.0,131,86.0,86,True,True
10007,Manhattan,284,4.0,800.0,1088.0,401,404.0,404,True,True
10009,Manhattan,1784,140.0,2000.0,3924.0,1491,1264.0,1264,True,True
10010,Manhattan,234,0.0,2000.0,2234.0,1163,1000.0,948,True,True
10011,Manhattan,1956,158.0,1200.0,3314.0,1031,806.0,806,True,True
10012,Manhattan,24,0.0,800.0,824.0,326,418.0,409,True,True
10013,Manhattan,435,21.0,1600.0,2056.0,1016,833.0,833,True,True
10014,Manhattan,1711,201.0,400.0,2312.0,749,472.0,472,True,True
10016,Manhattan,823,0.0,2400.0,3223.0,1255,1212.0,1199,True,True
10017,Manhattan,107,0.0,400.0,507.0,244,200.0,129,True,True
10018,Manhattan,0,0.0,400.0,400.0,262,200.0,162,True,True
10019,Manhattan,591,85.0,1200.0,1876.0,1025,733.0,733,True,True
10021,Manhattan,460,0.0,2400.0,2860.0,1370,1200.0,1192,True,True
10022,Manhattan,16,0.0,1700.0,1716.0,899,862.0,819,True,True
10023,Manhattan,1099,148.0,4400.0,5647.0,2361,2366.0,2366,True,True
10024,Manhattan,1243,109.0,5200.0,6552.0,2857,2814.0,2814,True,True
10025,Manhattan,2513,325.0,4800.0,7638.0,3272,3000.0,3000,True,True
10026,Manhattan,1706,116.0,2000.0,3822.0,1756,1482.0,1482,True,True
10027,Manhattan,3693,274.0,3600.0,7567.0,2835,2424.0,2424,True,True
10028,Manhattan,348,36.0,2100.0,2484.0,1578,1146.0,1146,True,True
10029,Manhattan,3358,86.0,4400.0,7844.0,4634,2644.0,2644,True,True
10030,Manhattan,1272,77.0,2000.0,3349.0,2036,1248.0,1248,True,True
10031,Manhattan,1577,25.0,2000.0,3602.0,3183,1573.0,1573,True,True
10032,Manhattan,3222,124.0,1200.0,4546.0,2844,1492.0,1492,True,True
10033,Manhattan,2893,58.0,2400.0,5351.0,3489,2138.0,2138,True,True
10034,Manhattan,3126,153.0,1600.0,4879.0,2784,1744.0,1744,True,True
10035,Manhattan,2059,286.0,2400.0,4745.0,2740,1588.0,1588,True,True
10036,Manhattan,686,23.0,800.0,1509.0,511,423.0,423,True,True
10037,Manhattan,586,0.0,1200.0,1786.0,1237,763.0,714,True,True
10038,Manhattan,802,84.0,800.0,1686.0,664,515.0,515,True,True
10039,Manhattan,1423,0.0,2000.0,3423.0,2220,1266.0,1266,True,True
10040,Manhattan,2594,35.0,800.0,3429.0,2728,1314.0,1314,True,True
10044,Manhattan,489,14.0,1200.0,1703.0,568,626.0,626,True,True
10065,Manhattan,845,47.0,2800.0,3692.0,1334,1487.0,1487,True,True
10069,Manhattan,16,0.0,900.0,916.0,411,462.0,460,True,True
10075,Manhattan,235,29.0,1600.0,1864.0,815,829.0,829,True,True
10128,Manhattan,301,11.0,3700.0,4012.0,1826,1861.0,1861,True,True
10162,Manhattan,0,0.0,200.0,200.0,51,100.0,90,True,True
10280,Manhattan,509,12.0,400.0,921.0,204,212.0,212,True,True
10282,Manhattan,279,29.0,500.0,808.0,427,279.0,279,True,True
10301,Staten Island,1905,176.0,2800.0,4881.0,1977,1854.0,1854,True,True
10302,Staten Island,744,102.0,1200.0,2046.0,1597,892.0,892,True,True
10303,Staten Island,1609,0.0,800.0,2409.0,2042,886.0,842,True,True
10304,Staten Island,2020,93.0,2000.0,4113.0,2211,1490.0,1490,True,True
10305,Staten Island,786,0.0,2000.0,2786.0,1680,1150.0,1102,True,True
10306,Staten Island,578,30.0,3200.0,3808.0,2506,1738.0,1738,True,True
10307,Staten Island,259,32.0,1400.0,1691.0,704,732.0,732,True,True
10308,Staten Island,431,58.0,1300.0,1789.0,1232,738.0,738,True,True
10309,Staten Island,297,32.0,2500.0,2829.0,1703,1291.0,1291,True,True
10310,Staten Island,1136,51.0,2400.0,3587.0,1526,1445.0,1445,True,True
10312,Staten Island,1140,119.0,4400.0,5659.0,3249,2446.0,2446,True,True
10314,Staten Island,1654,157.0,6400.0,8211.0,4624,3513.0,3513,True,True
10451,Bronx,3287,105.0,2400.0,5792.0,4441,2330.0,2330,True,True
10452,Bronx,6984,0.0,1600.0,8584.0,7386,3695.0,3641,True,True
10453,Bronx,6841,13.0,1600.0,8454.0,7494,3651.0,3651,True,True
10454,Bronx,3163,119.0,2400.0,5682.0,3795,1914.0,1914,True,True
10455,Bronx,3035,70.0,1200.0,4305.0,4071,1672.0,1672,True,True
10456,Bronx,6897,0.0,4400.0,11297.0,8157,4540.0,4479,True,True
10457,Bronx,6559,0.0,4000.0,10559.0,8287,4544.0,4524,True,True
10458,Bronx,4657,39.0,2800.0,7496.0,7496,3795.0,3724,True,True
10459,Bronx,4018,0.0,2800.0,6818.0,4731,2700.0,2649,True,True
10460,Bronx,4794,33.0,2000.0,6827.0,5174,2656.0,2656,True,True
10461,Bronx,1462,20.0,2800.0,4282.0,3795,1834.0,1834,True,True
10462,Bronx,3425,0.0,5200.0,8625.0,6403,3768.0,3721,True,True
10463,Bronx,4249,0.0,3600.0,7849.0,3410,2989.0,2969,True,True
10464,Bronx,114,0.0,100.0,214.0,167,62.0,50,True,True
10465,Bronx,1888,131.0,2800.0,4819.0,2302,2179.0,2179,True,True
10466,Bronx,3192,0.0,3200.0,6392.0,5706,2948.0,2929,True,True
10467,Bronx,6220,0.0,4000.0,10220.0,8200,4245.0,4228,True,True
10468,Bronx,4292,0.0,4000.0,8292.0,7519,4477.0,4448,True,True
10469,Bronx,2315,0.0,4000.0,6315.0,5280,2990.0,2989,True,True
10470,Bronx,632,70.0,1200.0,1902.0,1056,874.0,874,True,True
10471,Bronx,284,0.0,1200.0,1484.0,798,708.0,677,True,True
10472,Bronx,3577,0.0,4400.0,7977.0,5974,3581.0,3548,True,True
10473,Bronx,3514,35.0,3200.0,6749.0,4631,2495.0,2495,True,True
10474,Bronx,1164,88.0,800.0,2052.0,1264,668.0,668,True,True
10475,Bronx,1808,115.0,3600.0,5523.0,3141,2077.0,2077,True,True
11004,Queens,427,0.0,1200.0,1627.0,627,600.0,596,True,True
11101,Queens,1616,124.0,2400.0,4140.0,2002,1408.0,1408,True,True
11102,Queens,1390,26.0,1600.0,3016.0,1339,916.0,916,True,True
11103,Queens,524,20.0,1800.0,2344.0,993,1002.0,1002,True,True
11104,Queens,1229,134.0,2000.0,3363.0,1162,1180.0,1180,True,True
11105,Queens,830,132.0,2400.0,3362.0,1511,1402.0,1402,True,True
11106,Queens,1535,113.0,2000.0,3648.0,1405,1299.0,1299,True,True
11109,Queens,89,0.0,1200.0,1289.0,469,600.0,586,True,True
11201,Brooklyn,1957,92.0,6000.0,8049.0,3233,3300.0,3300,True,True
11203,Brooklyn,3405,12.0,4000.0,7417.0,4969,2692.0,2692,True,True
11204,Brooklyn,3192,374.0,8000.0,11566.0,8683,4806.0,4806,True,True
11205,Brooklyn,918,32.0,6000.0,6950.0,3711,3168.0,3168,True,True
11206,Brooklyn,3233,244.0,8400.0,11877.0,8618,4802.0,4802,True,True
11207,Brooklyn,6184,105.0,5600.0,11889.0,7862,4251.0,4251,True,True
11208,Brooklyn,5054,100.0,8400.0,13554.0,9814,5518.0,5518,True,True
11209,Brooklyn,1423,41.0,5200.0,6664.0,3229,2791.0,2791,True,True
11210,Brooklyn,2014,61.0,3600.0,5675.0,3320,2317.0,2317,True,True
11211,Brooklyn,2453,178.0,6000.0,8631.0,3396,3308.0,3308,True,True
11212,Brooklyn,5041,116.0,6000.0,11157.0,7050,3926.0,3926,True,True
11213,Brooklyn,2143,169.0,5600.0,7912.0,5698,3224.0,3224,True,True
11214,Brooklyn,2498,254.0,6000.0,8752.0,6683,3487.0,3487,True,True
11215,Brooklyn,3125,138.0,5600.0,8863.0,4068,3808.0,3808,True,True
11216,Brooklyn,1778,68.0,3600.0,5446.0,2391,2072.0,2072,True,True
11217,Brooklyn,1183,65.0,4400.0,5648.0,2036,2463.0,2463,True,True
11218,Brooklyn,3087,170.0,5200.0,8457.0,4409,3288.0,3288,True,True
11219,Brooklyn,2595,72.0,14000.0,16667.0,13374,8084.0,8084,True,True
11220,Brooklyn,2251,59.0,6800.0,9110.0,8344,3855.0,3855,True,True
11221,Brooklyn,2971,0.0,4800.0,7771.0,5557,3115.0,3078,True,True
11222,Brooklyn,672,0.0,3200.0,3872.0,1429,1672.0,1629,True,True
11223,Brooklyn,1448,84.0,8400.0,9932.0,7741,4428.0,4428,True,True
11224,Brooklyn,1165,26.0,2800.0,3991.0,3107,1516.0,1516,True,True
11225,Brooklyn,1985,3.0,3200.0,5188.0,3423,2036.0,2036,True,True
11226,Brooklyn,3099,111.0,6000.0,9210.0,6519,3711.0,3711,True,True
11228,Brooklyn,1212,36.0,2800.0,4048.0,1929,1520.0,1520,True,True
11229,Brooklyn,1840,98.0,5600.0,7538.0,4173,3186.0,3186,True,True
11230,Brooklyn,824,0.0,10000.0,10824.0,5803,5312.0,5279,True,True
11231,Brooklyn,1462,0.0,3600.0,5062.0,2293,2130.0,2112,True,True
11232,Brooklyn,1699,136.0,1200.0,3035.0,2040,1028.0,1028,True,True
11233,Brooklyn,3415,158.0,6400.0,9973.0,6405,3802.0,3802,True,True
11234,Brooklyn,2870,0.0,4800.0,7670.0,4196,3120.0,3110,True,True
11235,Brooklyn,1753,146.0,4800.0,6699.0,3293,2876.0,2876,True,True
11236,Brooklyn,4600,82.0,5200.0,9882.0,7494,3808.0,3808,True,True
11237,Brooklyn,1469,151.0,2000.0,3620.0,2409,1343.0,1343,True,True
11238,Brooklyn,2010,140.0,5200.0,7350.0,2571,2968.0,2968,True,True
11239,Brooklyn,802,15.0,400.0,1217.0,931,325.0,325,True,True
11249,Brooklyn,315,0.0,6200.0,6515.0,4806,3196.0,3183,True,True
11354,Queens,1253,154.0,2800.0,4207.0,2625,1656.0,1656,True,True
11355,Queens,3453,389.0,4000.0,7842.0,4520,2543.0,2543,True,True
11356,Queens,882,16.0,2400.0,3298.0,2154,1366.0,1366,True,True
11357,Queens,1087,190.0,2400.0,3677.0,1985,1462.0,1462,True,True
11358,Queens,679,17.0,2400.0,3096.0,2426,1349.0,1349,True,True
11360,Queens,485,49.0,1000.0,1534.0,620,573.0,573,True,True
11361,Queens,1501,205.0,1600.0,3306.0,1300,1149.0,1149,True,True
11362,Queens,349,0.0,800.0,1149.0,597,448.0,418,True,True
11363,Queens,226,0.0,400.0,626.0,378,275.0,223,True,True
11364,Queens,1330,208.0,2000.0,3538.0,1800,1268.0,1268,True,True
11365,Queens,1306,174.0,3200.0,4680.0,3412,1936.0,1936,True,True
11366,Queens,587,11.0,800.0,1398.0,602,555.0,555,True,True
11367,Queens,2205,137.0,3600.0,5942.0,3955,2543.0,2543,True,True
11368,Queens,3057,161.0,9200.0,12418.0,9621,5263.0,5263,True,True
11369,Queens,1444,0.0,800.0,2244.0,2008,992.0,952,True,True
11370,Queens,232,0.0,1400.0,1632.0,1576,874.0,853,True,True
11372,Queens,1767,106.0,4400.0,6273.0,4670,2538.0,2538,True,True
11373,Queens,3358,414.0,6000.0,9772.0,7276,3660.0,3660,True,True
11374,Queens,1851,151.0,2800.0,4802.0,2144,1819.0,1819,True,True
11375,Queens,1377,39.0,5200.0,6616.0,3390,2901.0,2901,True,True
11377,Queens,3046,297.0,6000.0,9343.0,5917,3471.0,3471,True,True
11378,Queens,632,92.0,2900.0,3624.0,1841,1578.0,1578,True,True
11379,Queens,1618,219.0,1600.0,3437.0,1661,1125.0,1125,True,True
11385,Queens,2974,8.0,6800.0,9782.0,7290,4018.0,4018,True,True
11411,Queens,745,23.0,800.0,1568.0,761,615.0,615,True,True
11412,Queens,1674,0.0,2000.0,3674.0,2572,1418.0,1407,True,True
11413,Queens,2309,60.0,1600.0,3969.0,2928,1416.0,1416,True,True
11414,Queens,828,129.0,2400.0,3357.0,1667,1443.0,1443,True,True
11415,Queens,63,0.0,1600.0,1663.0,897,847.0,784,True,True
11416,Queens,577,22.0,1800.0,2399.0,2191,1156.0,1156,True,True
11417,Queens,838,115.0,2000.0,2953.0,2645,1349.0,1349,True,True
11418,Queens,1594,84.0,2400.0,4078.0,2866,1578.0,1578,True,True
11419,Queens,1090,29.0,2000.0,3119.0,2685,1305.0,1305,True,True
11420,Queens,1895,44.0,2400.0,4339.0,2996,1658.0,1658,True,True
11421,Queens,1294,0.0,2400.0,3694.0,2840,1620.0,1600,True,True
11422,Queens,1173,2.0,800.0,1975.0,1975,892.0,868,True,True
11423,Queens,489,92.0,1200.0,1781.0,1779,840.0,840,True,True
11426,Queens,711,0.0,1600.0,2311.0,836,848.0,830,True,True
11427,Queens,191,0.0,2400.0,2591.0,1170,1254.0,1227,True,True
11428,Queens,545,0.0,1200.0,1745.0,1056,696.0,650,True,True
11429,Queens,357,0.0,1200.0,1557.0,1511,824.0,732,True,True
11430,Queens,0,0.0,100.0,100.0,19,50.0,0,True,True
11432,Queens,1232,54.0,5200.0,6486.0,4706,2786.0,2786,True,True
11433,Queens,2089,264.0,2800.0,5153.0,3259,1892.0,1892,True,True
11434,Queens,3225,0.0,4000.0,7225.0,5346,2851.0,2813,True,True
11435,Queens,1759,173.0,5600.0,7532.0,4961,3225.0,3225,True,True
11436,Queens,256,0.0,1200.0,1456.0,1426,798.0,608,True,True
11691,Queens,2880,107.0,6400.0,9387.0,7312,4032.0,4032,True,True
11692,Queens,902,49.0,1600.0,2551.0,2455,1139.0,1139,True,True
11693,Queens,328,42.0,800.0,1170.0,593,454.0,454,True,True
11694,Queens,752,81.0,1600.0,2433.0,1157,911.0,911,True,True
11697,Queens,0,0.0,400.0,400.0,274,200.0,154,True,True
