zipcode,pop_0_5,pop_6_12,pop_0_12,employment rate,average income,high_demand,threshold,min_slots_total,min_slots_0_5,existing_total,existing_0_5,is_desert,gap_total,gap_0_5
10001,744,1255,1999,0.5950970226633091,102878.03360298694,False,0.3333333333333333,667,496,609,0,True,58,496
10002,2142,4645,6787,0.5206618050654748,59604.04116465864,True,0.5,3394,1428,4729,18,False,0,1410
10003,1440,1510,2950,0.4972437218107912,114273.04964539009,False,0.3333333333333333,984,960,1995,0,False,0,960
10004,433,262,695,0.5066608429788163,132004.3103448276,False,0.3333333333333333,232,289,263,0,False,0,289
10005,484,318,802,0.6658334280195433,121437.7133105802,True,0.5,401,323,39,0,True,362,323
10006,128,133,261,0.6316916488222698,126377.1186440678,True,0.5,131,86,156,14,False,0,72
10007,605,596,1201,0.528910205169198,138853.90428211587,False,0.3333333333333333,401,404,284,0,True,117,404
10009,1896,2575,4471,0.5145674278475812,77133.23353293413,False,0.3333333333333333,1491,1264,1784,18,False,0,1246
10010,1422,2066,3488,0.4927491514964517,116272.69881026926,False,0.3333333333333333,1163,948,234,0,True,929,948
10011,1209,1882,3091,0.5569999212164185,120420.79207920792,False,0.3333333333333333,1031,806,1956,42,False,0,764
10012,613,364,977,0.5382730015082956,111131.78633975482,False,0.3333333333333333,326,409,24,0,True,302,409
10013,1249,1796,3045,0.4861983499134213,106023.04469273744,False,0.3333333333333333,1015,833,435,0,True,580,833
10014,708,789,1497,0.6086012015885408,124233.12883435584,True,0.5,749,472,1711,71,False,0,401
10016,1798,1966,3764,0.5652117934852582,109298.7308818744,False,0.3333333333333333,1255,1199,823,0,True,432,1199
10017,193,293,486,0.7773022228358415,118061.72291296624,True,0.5,243,129,107,0,True,136,129
10018,242,280,522,0.757593255572237,108746.18902439025,True,0.5,261,162,0,0,True,261,162
10019,1099,949,2048,0.6170789879811065,107014.96779082986,True,0.5,1024,733,591,0,True,433,733
10021,1787,2321,4108,0.5418040450765218,124193.91462306994,False,0.3333333333333333,1370,1192,460,0,True,910,1192
10022,1228,1466,2694,0.5698803072708867,124320.79414838034,False,0.3333333333333333,898,819,16,0,True,882,819
10023,3548,3533,7081,0.5057376799683438,121776.25639482395,False,0.3333333333333333,2361,2366,1099,0,True,1262,2366
10024,4221,4349,8570,0.4603816866855704,118313.14878892733,False,0.3333333333333333,2857,2814,1243,15,True,1614,2799
10025,4499,5314,9813,0.4391264898750361,93258.39398919934,False,0.3333333333333333,3271,3000,2553,91,True,718,2909
10026,2222,3043,5265,0.4513262772768849,65380.71800810655,False,0.3333333333333333,1755,1482,1706,18,True,49,1464
10027,3636,4867,8503,0.3941889797282922,61675.983037779486,False,0.3333333333333333,2835,2424,3758,0,False,0,2424
10028,1719,3012,4731,0.5260625150381696,117822.24532224532,False,0.3333333333333333,1577,1146,348,36,True,1229,1110
10029,3965,5301,9266,0.4520326923585579,48339.6723229959,True,0.5,4633,2644,3358,0,True,1275,2644
10030,1872,2199,4071,0.4055264167839325,48373.42271293375,True,0.5,2036,1248,1272,0,True,764,1248
10031,2359,4006,6365,0.4465631347880217,48674.798239178286,True,0.5,3183,1573,1577,0,True,1606,1573
10032,2238,3448,5686,0.4551917989417989,46467.4900108972,True,0.5,2843,1492,3222,0,False,0,1492
10033,3206,3770,6976,0.4276881674643593,52235.16527279968,True,0.5,3488,2138,2893,0,True,595,2138
10034,2615,2951,5566,0.4544142410392109,50708.04658549497,True,0.5,2783,1744,3126,0,False,0,1744
10035,2382,3097,5479,0.3839875631558492,50944.669365722,True,0.5,2740,1588,2075,0,True,665,1588
10036,634,898,1532,0.5719366311024895,94940.64443188242,False,0.3333333333333333,511,423,686,0,False,0,423
10037,1070,1402,2472,0.5026648552617828,57120.58212058212,True,0.5,1236,714,586,21,True,650,693
10038,772,1219,1991,0.5059332562224221,95681.62574089757,False,0.3333333333333333,664,515,802,20,False,0,495
10039,1898,2541,4439,0.4219225750326228,47026.16970658208,True,0.5,2220,1266,1423,0,True,797,1266
10040,1970,3484,5454,0.4673218335509587,50772.05882352941,True,0.5,2727,1314,2594,0,True,133,1314
10044,939,764,1703,0.3992908998818166,86945.03171247357,False,0.3333333333333333,568,626,489,0,True,79,626
10065,2230,1770,4000,0.491266729317217,120720.64643799471,False,0.3333333333333333,1334,1487,845,40,True,489,1447
10069,690,541,1231,0.519252276721521,133653.84615384616,False,0.3333333333333333,411,460,16,0,True,395,460
10075,1243,1199,2442,0.5635451505016722,120113.13056379822,False,0.3333333333333333,814,829,235,0,True,579,829
10128,2791,2686,5477,0.5517241379310345,111992.48721227625,False,0.3333333333333333,1826,1861,301,0,True,1525,1861
10162,134,17,151,0.4990151017728168,137335.52631578947,False,0.3333333333333333,51,90,0,0,True,51,90
10280,318,293,611,0.4692977496324776,134397.5903614458,False,0.3333333333333333,204,212,509,0,False,0,212
10282,418,861,1279,0.3286821705426356,152181.6037735849,False,0.3333333333333333,427,279,279,0,True,148,279
10301,2780,3148,5928,0.4564726885026406,66913.36230309615,False,0.3333333333333333,1976,1854,1905,10,True,71,1844
10302,1338,1855,3193,0.4766521247374374,57217.51412429378,True,0.5,1597,892,744,0,True,853,892
10303,1262,2821,4083,0.4733596721190414,52778.861154446175,True,0.5,2042,842,1629,0,True,413,842
10304,2234,4396,6630,0.4645149786019971,61216.41074856045,False,0.3333333333333333,2210,1490,2020,41,True,190,1449
10305,1653,3386,5039,0.496553031200398,64277.19465648855,False,0.3333333333333333,1680,1102,786,0,True,894,1102
10306,2606,4911,7517,0.5132309005548442,73657.31115731115,False,0.3333333333333333,2506,1738,578,0,True,1928,1738
10307,1098,1011,2109,0.4662826160623517,86900.43604651163,False,0.3333333333333333,703,732,259,0,True,444,732
10308,1106,2587,3693,0.4721529509559434,81452.4647887324,False,0.3333333333333333,1231,738,431,0,True,800,738
10309,1936,3172,5108,0.4602763385146804,85576.92307692306,False,0.3333333333333333,1703,1291,297,0,True,1406,1291
10310,2167,2408,4575,0.4500933724608407,67453.42929720576,False,0.3333333333333333,1525,1445,1168,0,True,357,1445
10312,3668,6076,9744,0.4781560663589242,83484.34925864909,False,0.3333333333333333,3248,2446,1140,8,True,2108,2438
10314,5269,8600,13869,0.448836839595146,74144.03778040141,False,0.3333333333333333,4623,3513,1654,0,True,2969,3513
10451,3494,5387,8881,0.4843016117401726,40553.319919517104,True,0.5,4441,2330,3287,0,True,1154,2330
10452,5461,9309,14770,0.4703398453398453,35306.24661979448,True,0.5,7385,3641,6984,0,True,401,3641
10453,5476,9510,14986,0.4718542016545375,34474.69021882415,True,0.5,7493,3651,6841,0,True,652,3651
10454,2870,4718,7588,0.389063374966523,35661.76470588235,True,0.5,3794,1914,3163,0,True,631,1914
10455,2507,5634,8141,0.4238395673726904,35785.48644338118,True,0.5,4071,1672,3035,0,True,1036,1672
10456,6718,9594,16312,0.4558848433530906,34503.467062902426,True,0.5,8156,4479,6942,0,True,1214,4479
10457,6785,9788,16573,0.4239698309883859,34633.56973995271,True,0.5,8287,4524,6559,0,True,1728,4524
